48.45,231.83,17.87,178.79,179.84,11.1,228.79,47.95,时尚袋袋
342.98,311.18,460.26,313.18,462.26,350.21,345.98,345.21,73774
462.26,293.34,501.39,292.34,502.39,299.71,462.44,300.71,73/74/737
454.07,302.17,499.75,302.17,500.75,311.18,455.07,311.18,73774/73774
473.09,342.48,508.3,342.48,508.3,348.85,472.09,348.85,73774/73
501.21,338.11,498.21,291.52,562.71,289.52,562.71,333.11,74
228.97,527.45,473.64,524.45,479.64,575.4,228.97,576.4,百事可乐
425.05,487.88,459.35,490.88,454.35,513.81,424.05,510.81,74
164.46,335.29,184.94,336.29,187.94,369.04,170.46,368.04,0
207.31,354.76,202.31,400.44,172.19,400.44,169.19,351.76,###
235.25,320.64,265.55,323.64,266.55,363.22,240.25,366.22,R
262.09,293.34,293.93,293.34,291.93,335.47,264.09,335.47,###
339.15,321.55,334.15,349.48,306.4,351.48,299.4,319.55,###
421.5,354.12,472.63,355.12,468.63,377.87,417.5,378.87,377
506.76,371.78,541.7,373.78,542.33,394.7,508.76,394.89,73
218.51,439.92,241.8,441.38,243.8,465.13,222.87,467.13,O
200.49,495.79,231.52,495.79,233.52,527.36,200.49,527.36,0
590.83,690.87,573.45,672.13,695.37,552.29,704.93,568.03,QQ：264623
556.43,678.4,534.78,662.48,679.27,531.0,689.1,539.65,旺旺：cytivan
494.38,693.96,479.28,679.22,688.73,473.14,702.2,489.24,手机：15158528887
418.4,724.53,362.63,651.84,663.62,364.67,714.39,424.73,时尚袋袋
